#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
mknifty;Mortal Kombat (Nifty Kombo, hack);mame;mk;1992;hack;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk;;;6;;;;
mkyawdim2;Mortal Kombat (Yawdim bootleg, set 2);mame;mk;1992;bootleg (Yawdim);Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk;;;6;;;;
mkyawdim;Mortal Kombat (Yawdim bootleg, set 1);mame;mk;1992;bootleg (Yawdim);Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk;;;6;;;;
mkyawdim4;Mortal Kombat (Yawdim bootleg, set 4);mame;mk;1992;bootleg (Yawdim);Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;mk;;;6;;;;
mkyawdim3;Mortal Kombat (Yawdim bootleg, set 3);mame;mk;1992;bootleg (Yawdim);Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;mk;;;6;;;;
mkrep;Mortal Kombat (Reptile Man hack);mame;mk;1992;hack;Fighter / Versus;???;0;joystick (8-way),joystick (8-way);preliminary;1;raster;mk;;;6;;;;
mk2r30;Mortal Kombat II (rev L3.0);mame;mk2;1993;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
mk2;Mortal Kombat II (rev L3.1);mame;;1993;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;6;;;;
mk2r31e;Mortal Kombat II (rev L3.1, European);mame;mk2;1993;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
mk2r11;Mortal Kombat II (rev L1.1);mame;mk2;1993;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
mk2r20;Mortal Kombat II (rev L2.0);mame;mk2;1993;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
mk2r21;Mortal Kombat II (rev L2.1);mame;mk2;1993;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
mk2chal;Mortal Kombat II Challenger (hack);mame;mk2;1993;hack;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
mk2r14;Mortal Kombat II (rev L1.4);mame;mk2;1993;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
tmkombat;Mortal Kombat (handheld);mame;;1993;Tiger Electronics (licensed from Midway);;Non-arcade;0;joystick (8-way);good;1;svg;;;;4;;;;
mk2r32e;Mortal Kombat II (rev L3.2, European);mame;mk2;1993;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);mame;mk2;1993;hack;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);mame;mk2;1993;hack;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk2;;;6;;;;
umk3r10;Ultimate Mortal Kombat 3 (rev 1.0);mame;umk3;1994;Midway;Fighter / Versus;8P alt / 2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;umk3;;;6;;;;
mk3p40;Mortal Kombat 3 (rev 1 chip label p4.0);mame;mk3;1994;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk3;;;6;;;;
mk3r10;Mortal Kombat 3 (rev 1.0);mame;mk3;1994;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk3;;;6;;;;
umk3;Ultimate Mortal Kombat 3 (rev 1.2);mame;;1994;Midway;Fighter / Versus;8P alt / 2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;6;;;;
umk3r11;Ultimate Mortal Kombat 3 (rev 1.1);mame;umk3;1994;Midway;Fighter / Versus;8P alt / 2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;umk3;;;6;;;;
mk3r20;Mortal Kombat 3 (rev 2.0);mame;mk3;1994;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;mk3;;;6;;;;
mk3;Mortal Kombat 3 (rev 2.1);mame;;1994;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;6;;;;
mk3mdb;Mortal Kombat 3 (bootleg of Megadrive version);mame;;1996;bootleg / Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;6;;;;
mk4;Mortal Kombat 4 (version 3.0);mame;;1997;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;6;;;;
mk4a;Mortal Kombat 4 (version 2.1);mame;mk4;1997;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;mk4;;;6;;;;
mk4b;Mortal Kombat 4 (version 1.0);mame;mk4;1997;Midway;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;mk4;;;6;;;;
mk3snes;Mortal Kombat 3 (SNES bootleg);mame;;199?;bootleg;Fighter / Versus;2P sim;;;preliminary;0;;;;;;;;;
jak_mk;Mortal Kombat (JAKKS Pacific TV Game);mame;;2004;JAKKS Pacific Inc / Digital Eclipse;;1;0;joystick (8-way);imperfect;1;raster;;;;7;;;;
